batch,epoch,r2,infer_time,mean_error,y,yfilter,u,uf
20.0,50.0,0.9992472911942702,2.7857890129089355,0.013092396591756903,-0.99750996,-1.0803516900405525,4.2046075,0.014979906
,,,,,-0.99748576,-0.9825655063047875,4.2983127,0.015463501
,,,,,-0.9974498,-1.6919178745684715,4.4146986,0.01606369
,,,,,-0.99740195,-1.523747966083813,4.4979076,0.016426492
,,,,,-0.9973421,-1.8985500171121483,4.5498266,0.01664028
,,,,,-0.9972701,-1.645181181773349,4.5726604,0.016730048
,,,,,-0.99718606,-1.6638714648941049,4.568868,0.01670885
,,,,,-0.9970901,-1.4498281616806221,4.540989,0.016585492
,,,,,-0.99698234,-1.3941185268701224,4.491752,0.016371213
,,,,,-0.99686307,-1.2964268829484231,4.4238267,0.016065814
,,,,,-0.99673253,-1.2668672351173147,4.3401017,0.0156220235
,,,,,-0.996591,-1.230000716636081,4.2431903,0.015109062
,,,,,-0.99643886,-1.2159342435760658,4.1358533,0.0145412795
,,,,,-0.9962765,-1.2002322285433176,4.0206304,0.013931856
,,,,,-0.9961043,-1.191624663888887,3.9000146,0.013293739
,,,,,-0.9959226,-1.18283736316828,3.7762759,0.012638707
,,,,,-0.99573183,-1.1763644726089781,3.651553,0.011977881
,,,,,-0.9955324,-1.1701286325274127,3.5278435,0.011321638
,,,,,-0.9953247,-1.1647874255154596,3.4068704,0.010678936
,,,,,-0.99510896,-1.1597504136587151,3.290194,0.010057874
,,,,,-0.9948857,-1.155159936315211,3.1792068,0.009465702
,,,,,-0.9946552,-1.1508378118649112,3.0750215,0.008908216
,,,,,-0.99441767,-1.146795093278103,2.9786177,0.008390505
,,,,,-0.9941735,-1.1429680269805735,2.8906991,0.007916238
,,,,,-0.99392295,-1.139341011945634,2.8118243,0.0074883364
,,,,,-0.9936661,-1.135884069476174,2.7424035,0.007108923
,,,,,-0.9934033,-1.132580375658865,2.6826,0.006778881
,,,,,-0.9931347,-1.1294122238900213,2.6324582,0.0064984374
,,,,,-0.9928603,-1.1263661810928522,2.591883,0.0062671155
,,,,,-0.9925803,-1.1234302020832772,2.5606847,0.0060839355
,,,,,-0.9922948,-1.1205943848615254,2.5385218,0.0059471466
,,,,,-0.9920038,-1.1178502586818284,2.524913,0.0058542453
,,,,,-0.9917074,-1.1151906812061978,2.5193348,0.005802531
,,,,,-0.9914055,-1.1126094528084334,2.5211978,0.0057889447
,,,,,-0.99109817,-1.11010131783466,2.5299034,0.0058103986
,,,,,-0.99078536,-1.1076805431027417,2.5283003,0.0057780147
,,,,,-0.9904672,-1.1053820501004297,2.5009902,0.0056120455
,,,,,-0.9901439,-1.1032170653029467,2.4507296,0.005326774
,,,,,-0.9898156,-1.101176187627383,2.3803573,0.004936941
,,,,,-0.9894826,-1.0992496738445927,2.2927399,0.004457392
,,,,,-0.9891452,-1.0974248150157941,2.1907287,0.0039029457
,,,,,-0.98880386,-1.0956900759204669,2.0771196,0.0032881089
,,,,,-0.9884588,-1.0940339453932226,1.9546183,0.0026269145
,,,,,-0.9881105,-1.092446015448488,1.8258051,0.0019327737
,,,,,-0.98775935,-1.090916609551769,1.6931264,0.001218386
,,,,,-0.9874057,-1.089436837776623,1.5588464,0.00049551204
,,,,,-0.9870501,-1.0879988026480818,1.4250475,-0.00022501498
,,,,,-0.9866928,-1.0865952410378588,1.2936138,-0.00093342736
,,,,,-0.98633426,-1.0852199295143214,1.1662216,-0.0016209893
,,,,,-0.9859748,-1.0838672267144631,1.0443348,-0.0022801124
,,,,,-0.98561484,-1.0825324565447436,0.929198,-0.002904296
,,,,,-0.9852546,-1.081211440960782,0.82185817,-0.0034881104
,,,,,-0.98489445,-1.079900890653575,0.7231394,-0.0040272567
,,,,,-0.9845347,-1.0785980553168775,0.63367033,-0.004518455
,,,,,-0.98417544,-1.0773007535546566,0.5538884,-0.004959423
,,,,,-0.98381704,-1.0760074503563086,0.48405108,-0.005348809
,,,,,-0.9834596,-1.0747170162288386,0.4242443,-0.0056861565
,,,,,-0.9831032,-1.0734287660815793,0.37441966,-0.0059717055
,,,,,-0.9827481,-1.072142484155253,0.3343576,-0.006206589
,,,,,-0.9823943,-1.0708582497067876,0.30375433,-0.0063923635
,,,,,-0.98204184,-1.0695764324360497,0.28216156,-0.0065313503
,,,,,-0.9816908,-1.0682977045506779,0.26906952,-0.0066261925
,,,,,-0.98134124,-1.0670228643067414,0.26389295,-0.0066799168
,,,,,-0.9809931,-1.0657529268940629,0.26595917,-0.006696008
,,,,,-0.9806463,-1.0644889834800357,0.27458942,-0.006677989
,,,,,-0.9803009,-1.0632322529355893,0.28903654,-0.0066297296
,,,,,-0.97995675,-1.0619839423452715,0.30857465,-0.006554993
,,,,,-0.97961384,-1.060745347892841,0.33243507,-0.006457774
,,,,,-0.979272,-1.0595176565104174,0.35989395,-0.00634183
,,,,,-0.9789312,-1.0583020725207206,0.39020592,-0.006211024
,,,,,-0.9785914,-1.0570998360291417,0.42268038,-0.0060689393
,,,,,-0.97825235,-1.0559118923632913,0.45665923,-0.005919002
,,,,,-0.97791404,-1.0547392492620142,0.491496,-0.0057645626
,,,,,-0.9775763,-1.0535827610638502,0.5266278,-0.005608555
,,,,,-0.97723913,-1.0524432084119897,0.56150293,-0.005453827
,,,,,-0.97690237,-1.0513212241170276,0.5956606,-0.0053027906
,,,,,-0.9765659,-1.0502172908826373,0.6286565,-0.0051577445
,,,,,-0.97622967,-1.0491318335557906,0.66013116,-0.0050205663
,,,,,-0.9758935,-1.0480650136961827,0.6897801,-0.0048928373
,,,,,-0.9755574,-1.0470170324255135,0.71732616,-0.004776001
,,,,,-0.9752213,-1.0459879298092132,0.74258417,-0.0046710204
,,,,,-0.97488505,-1.044977571298502,0.76538265,-0.004578788
,,,,,-0.97454864,-1.04398576288037,0.7856378,-0.004499741
,,,,,-0.974212,-1.0430121889840442,0.8032738,-0.004434284
,,,,,-0.97387516,-1.0420565724921746,0.81828684,-0.0043824315
,,,,,-0.973538,-1.0411183253493799,0.8307112,-0.0043440163
,,,,,-0.97320044,-1.040196943734513,0.84058815,-0.0043188278
,,,,,-0.9728626,-1.0392919002935772,0.8480281,-0.004306283
,,,,,-0.97252434,-1.038402486813794,0.8531302,-0.0043058917
,,,,,-0.9721858,-1.037528131716606,0.8560545,-0.0043167956
,,,,,-0.9718468,-1.0366680384603575,0.85694116,-0.0043382943
,,,,,-0.9715075,-1.0358215506413928,0.8559742,-0.004369421
,,,,,-0.9711678,-1.0349878946932993,0.8533474,-0.004409168
,,,,,-0.97082776,-1.034166349937272,0.8492334,-0.004456658
,,,,,-0.97048736,-1.0333561769099369,0.8438466,-0.004510766
,,,,,-0.97014666,-1.0325566763939769,0.8373637,-0.004570568
,,,,,-0.9698057,-1.0317672007616503,0.82999724,-0.0046349727
,,,,,-0.9694645,-1.030987009678941,0.8219167,-0.004703097
,,,,,-0.969123,-1.0302154985410164,0.8133133,-0.00477395
,,,,,-0.9687813,-1.029452007433318,0.80436826,-0.004846595
,,,,,-0.96843946,-1.0286960438727748,0.7952239,-0.004920272
,,,,,-0.9680974,-1.0279469737279405,0.7860485,-0.004994137
,,,,,-0.96775526,-1.0272043896591718,0.776968,-0.005067507
,,,,,-0.967413,-1.026467817725458,0.7680865,-0.0051398613
,,,,,-0.9670707,-1.0257368572086358,0.75954986,-0.005210437
,,,,,-0.9667283,-1.0250110844071758,0.7514312,-0.005278848
,,,,,-0.9663859,-1.024290204269276,0.743791,-0.005344782
,,,,,-0.96604353,-1.0235739762031244,0.7367314,-0.005407706
,,,,,-0.9657011,-1.0228620311417598,0.73028266,-0.0054674707
,,,,,-0.9653588,-1.0221542992481596,0.7244814,-0.00552387
,,,,,-0.9650165,-1.02145052201923,0.71933347,-0.005576888
,,,,,-0.96467423,-1.02075057475139,0.7148891,-0.005626252
,,,,,-0.96433204,-1.020054292121905,0.7111295,-0.0056720655
,,,,,-0.9639899,-1.0193616370241423,0.70802754,-0.005714467
,,,,,-0.9636479,-1.0186725571824975,0.70560366,-0.0057533477
,,,,,-0.963306,-1.0179869876418715,0.70381224,-0.005788943
,,,,,-0.9629642,-1.017304889259181,0.70262074,-0.0058214236
,,,,,-0.96262246,-1.0166262975925577,0.701973,-0.005851079
,,,,,-0.9622808,-1.0159511688707628,0.7018646,-0.0058779363
,,,,,-0.9619393,-1.01527952371477,0.70222914,-0.005902333
,,,,,-0.96159786,-1.0146114281676102,0.70301795,-0.005924523
,,,,,-0.9612565,-1.0139468808860483,0.7041623,-0.0059448723
,,,,,-0.9609152,-1.013285901953789,0.7056494,-0.0059634317
,,,,,-0.96057403,-1.0126285352404865,0.7074079,-0.005980583
,,,,,-0.9602329,-1.011974840285661,0.7093695,-0.0059966724
,,,,,-0.95989186,-1.0113248239510397,0.71152335,-0.0060117655
,,,,,-0.9595509,-1.0106785395491769,0.7138027,-0.0060261954
,,,,,-0.95921,-1.01003596659571,0.71616304,-0.006040208
,,,,,-0.9588691,-1.009397174615919,0.7185448,-0.006054107
,,,,,-0.9585282,-1.0087621306462253,0.7209479,-0.0060678907
,,,,,-0.9581874,-1.008130853913041,0.72331774,-0.0060818456
,,,,,-0.95784664,-1.0075034115711317,0.72560495,-0.006096225
,,,,,-0.9575058,-1.0068796901786747,0.72782046,-0.0061109774
,,,,,-0.95716506,-1.0062597277270293,0.7299209,-0.006126322
,,,,,-0.95682436,-1.0056435524498335,0.73188657,-0.006142361
,,,,,-0.9564836,-1.0050310644816507,0.7336834,-0.0061592795
,,,,,-0.95614284,-1.004422254156737,0.73533726,-0.0061769392
,,,,,-0.955802,-1.0038170019140504,0.73681945,-0.0061954893
,,,,,-0.95546126,-1.003215403582761,0.73810625,-0.006215051
,,,,,-0.95512044,-1.0026173074323477,0.7392333,-0.006235441
,,,,,-0.9547796,-1.0020226648845076,0.7401811,-0.006256763
,,,,,-0.9544388,-1.001431449660111,0.7409524,-0.006278999
,,,,,-0.9540979,-1.0008435619763945,0.7415342,-0.0063022226
,,,,,-0.95375705,-1.0002589617329871,0.74197185,-0.0063261874
,,,,,-0.95341617,-0.9996775459291926,0.7422542,-0.0063509624
,,,,,-0.95307523,-0.9990992530072006,0.74237335,-0.006376585
,,,,,-0.95273423,-0.998523971603816,0.7423789,-0.0064028
,,,,,-0.95239323,-0.9979516403564641,0.7422631,-0.0064296443
,,,,,-0.95205224,-0.9973822230513487,0.7420387,-0.006457053
,,,,,-0.95171124,-0.9968156534694451,0.74170095,-0.006485047
,,,,,-0.9513702,-0.9962518023396328,0.74130136,-0.0065133683
,,,,,-0.95102906,-0.9956905490651211,0.7408332,-0.0065420493
,,,,,-0.950688,-0.9951319595292518,0.74029154,-0.0065711066
,,,,,-0.9503469,-0.9945758641806759,0.739727,-0.006600285
,,,,,-0.9500057,-0.9940221540652143,0.7391319,-0.006629627
,,,,,-0.9496646,-0.993470878315492,0.73851764,-0.0066590607
,,,,,-0.9493234,-0.9929219063100481,0.73787653,-0.0066886395
,,,,,-0.9489823,-0.992375252800982,0.73725665,-0.0067181084
,,,,,-0.9486411,-0.9918307395470469,0.73664683,-0.0067475233
,,,,,-0.94829994,-0.9912883996110817,0.7360368,-0.0067769457
,,,,,-0.94795877,-0.990748160196226,0.7354716,-0.0068061333
,,,,,-0.94761753,-0.9902098990411192,0.73493725,-0.0068351626
,,,,,-0.94727635,-0.9896736861387908,0.7344385,-0.0068640057
,,,,,-0.9469352,-0.9891394559466907,0.73396105,-0.006892737
,,,,,-0.946594,-0.9886071601234471,0.73354626,-0.006921146
,,,,,-0.9462528,-0.9880767212397714,0.73317605,-0.0069493223
,,,,,-0.94591165,-0.9875481580547578,0.7328336,-0.006977355
,,,,,-0.94557047,-0.9870214156843082,0.7325576,-0.0070050433
,,,,,-0.9452293,-0.9864964363911464,0.73232764,-0.007032493
,,,,,-0.9448881,-0.9859732261655608,0.7321429,-0.00705971
,,,,,-0.944547,-0.9854518125233491,0.7319837,-0.0070867855
,,,,,-0.9442058,-0.9849320842171698,0.73188627,-0.0071135517
,,,,,-0.9438647,-0.9844140607437333,0.73182815,-0.0071401056
,,,,,-0.9435235,-0.983897693215507,0.73178846,-0.007166574
,,,,,-0.9431824,-0.9833830217538702,0.73180234,-0.007192755
,,,,,-0.9428413,-0.9828699625692287,0.7318465,-0.00721878
,,,,,-0.9425002,-0.9823585318155907,0.73191756,-0.0072446633
,,,,,-0.94215906,-0.9818487166170038,0.7319938,-0.0072705243
,,,,,-0.94181794,-0.9813404971886006,0.73211,-0.0072961766
,,,,,-0.9414769,-0.9808338643083439,0.73224264,-0.0073217377
,,,,,-0.94113576,-0.9803287760468933,0.73237014,-0.007347334
,,,,,-0.9407947,-0.9798252712434504,0.73252743,-0.0073727667
,,,,,-0.9404536,-0.9793232248876999,0.73269135,-0.0073981695
,,,,,-0.94011253,-0.9788227385169231,0.7328589,-0.0074235555
,,,,,-0.9397714,-0.9783237234324212,0.7330093,-0.007449031
,,,,,-0.93943036,-0.9778262372720743,0.7331781,-0.007474402
,,,,,-0.9390893,-0.9773301947695958,0.7333431,-0.0074997973
,,,,,-0.9387482,-0.9768355879524971,0.73348415,-0.007525321
,,,,,-0.9384071,-0.9763424560606205,0.73363763,-0.007550778
,,,,,-0.93806607,-0.9758507239875222,0.7337822,-0.0075762756
,,,,,-0.93772495,-0.9753603599323353,0.7339164,-0.0076018367
,,,,,-0.9373839,-0.9748714353784973,0.73402125,-0.0076275393
,,,,,-0.93704283,-0.9743838957988956,0.73413414,-0.0076532047
,,,,,-0.9367018,-0.9738976876977286,0.73423463,-0.0076789353
,,,,,-0.93636066,-0.9734127795899079,0.73432237,-0.0077047367
,,,,,-0.9360196,-0.9729292258631743,0.73439735,-0.0077305976
,,,,,-0.93567854,-0.9724470179812604,0.7344232,-0.007756714
,,,,,-0.9353374,-0.9719660667978767,0.7344768,-0.007782692
,,,,,-0.93499637,-0.9714863635453249,0.73451847,-0.0078087244
,,,,,-0.93465525,-0.97100788415318,0.73454875,-0.007834818
,,,,,-0.9343142,-0.9705306712452512,0.73456824,-0.007860968
,,,,,-0.93397313,-0.9700546866670665,0.73457766,-0.00788717
,,,,,-0.933632,-0.9695798590668814,0.7345778,-0.007913422
,,,,,-0.9332909,-0.9691062404417702,0.73453313,-0.007939907
,,,,,-0.93294984,-0.9686338431255777,0.73452115,-0.00796622
,,,,,-0.9326087,-0.9681625004743893,0.7345026,-0.007992569
,,,,,-0.93226767,-0.9676923429982386,0.7344785,-0.008018944
,,,,,-0.93192655,-0.967223254743574,0.7344495,-0.008045349
,,,,,-0.93158543,-0.9667552657352171,0.7344167,-0.008071775
,,,,,-0.9312444,-0.9662884029324135,0.73438084,-0.008098209
,,,,,-0.93090326,-0.965822608249686,0.73430634,-0.008124847
,,,,,-0.93056214,-0.965357875376981,0.73427045,-0.008151291
,,,,,-0.9302211,-0.9648941680297326,0.7342339,-0.008177729
,,,,,-0.92987996,-0.9644314616908671,0.73419726,-0.008204173
,,,,,-0.92953885,-0.9639697535614827,0.734161,-0.008230615
,,,,,-0.9291977,-0.9635090440614524,0.73412573,-0.00825705
,,,,,-0.9288567,-0.9630493645551202,0.7340918,-0.008283475
,,,,,-0.92851555,-0.9625906568860236,0.7340233,-0.008310085
,,,,,-0.92817444,-0.9621329162912996,0.73399687,-0.008336479
,,,,,-0.9278333,-0.9616760620928645,0.73397285,-0.008362856
,,,,,-0.92749226,-0.9612202013341412,0.73395133,-0.008389216
,,,,,-0.92715114,-0.9607652204950149,0.73393244,-0.008415567
,,,,,-0.92681,-0.9603111516497718,0.73391616,-0.008441906
,,,,,-0.9264689,-0.9598579821591698,0.73390245,-0.008468233
,,,,,-0.92612785,-0.9594057512292627,0.73389137,-0.008494537
,,,,,-0.92578673,-0.9589543997063877,0.7338465,-0.008521028
,,,,,-0.9254456,-0.9585039279285273,0.73384404,-0.008547293
,,,,,-0.9251045,-0.9580542546964311,0.73384404,-0.008573545
,,,,,-0.92476344,-0.9576054929545558,0.7338462,-0.008599784
,,,,,-0.9244223,-0.9571575295518763,0.73385024,-0.008626018
,,,,,-0.9240812,-0.9567103981255279,0.73385596,-0.008652242
,,,,,-0.92374015,-0.9562641334922208,0.7338632,-0.008678457
,,,,,-0.92339903,-0.955818683638147,0.73383534,-0.008704854
,,,,,-0.9230579,-0.955374046717415,0.7338485,-0.008731041
,,,,,-0.92271686,-0.9549301927899501,0.73386264,-0.008757213
,,,,,-0.92237574,-0.9544871049932897,0.7338773,-0.008783393
,,,,,-0.9220346,-0.9540447866772205,0.7338923,-0.00880957
,,,,,-0.92169356,-0.9536032881972348,0.7339074,-0.008835742
,,,,,-0.92135245,-0.9531625187949884,0.7339223,-0.00886192
,,,,,-0.9210113,-0.9527225355939446,0.7339006,-0.008888284
,,,,,-0.9206703,-0.952283357425917,0.7339185,-0.008914443
,,,,,-0.92032915,-0.9518448282609566,0.7339358,-0.008940607
,,,,,-0.9199881,-0.951407085468789,0.73395234,-0.008966772
,,,,,-0.919647,-0.9509700221969944,0.73396796,-0.008992944
,,,,,-0.91930586,-0.950533675894836,0.7339825,-0.0090191215
,,,,,-0.9189648,-0.9500980839499402,0.73399585,-0.009045305
,,,,,-0.9186237,-0.9496631954325221,0.73397166,-0.009071682
,,,,,-0.91828257,-0.949229009835782,0.73398626,-0.009097861
,,,,,-0.9179415,-0.9487955000357062,0.7339996,-0.0091240425
,,,,,-0.9176004,-0.948362649391591,0.73401165,-0.009150235
,,,,,-0.91725934,-0.9479305051863882,0.7340223,-0.009176426
,,,,,-0.9169182,-0.9474989938758931,0.7340316,-0.009202631
,,,,,-0.9165771,-0.9470681391082314,0.7340395,-0.009228846
,,,,,-0.91623604,-0.9466380167713486,0.7340097,-0.009255253
,,,,,-0.9158949,-0.9462085186195143,0.7340186,-0.009281458
,,,,,-0.9155538,-0.9457795968473856,0.7340264,-0.009307673
,,,,,-0.91521275,-0.9453513658902626,0.7340329,-0.009333888
,,,,,-0.91487163,-0.9449237176584994,0.73403835,-0.009360112
,,,,,-0.9145305,-0.944496689653776,0.7340426,-0.009386348
,,,,,-0.91418946,-0.9440703194340809,0.73404574,-0.009412581
,,,,,-0.91384834,-0.9436445552563694,0.7340116,-0.00943901
,,,,,-0.9135073,-0.9432194458294552,0.73401654,-0.009465234
,,,,,-0.91316617,-0.942794836182856,0.7340207,-0.009491468
,,,,,-0.91282505,-0.9423708239896181,0.7340241,-0.009517707
,,,,,-0.912484,-0.9419474295701623,0.73402673,-0.00954394
,,,,,-0.9121429,-0.9415245801606504,0.73402864,-0.009570183
,,,,,-0.91180176,-0.9411022967979268,0.7340299,-0.00959643
,,,,,-0.9114607,-0.9406806581193135,0.7339942,-0.009622868
,,,,,-0.9111196,-0.9402595579464909,0.733998,-0.0096491035
,,,,,-0.91077846,-0.9398389472741921,0.7340014,-0.009675337
,,,,,-0.9104374,-0.9394189415185332,0.7340044,-0.0097015705
,,,,,-0.9100963,-0.9389994368486754,0.73400694,-0.009727813
,,,,,-0.9097552,-0.9385804691575838,0.7340091,-0.009754056
,,,,,-0.9094141,-0.9381620770624686,0.7340108,-0.009780299
,,,,,-0.909073,-0.9377442123257494,0.73397577,-0.009806734
,,,,,-0.9087319,-0.9373268767150237,0.73398054,-0.0098329615
,,,,,-0.9083908,-0.9369100438902467,0.733985,-0.009859186
,,,,,-0.9080497,-0.9364937016359545,0.7339892,-0.009885419
,,,,,-0.9077086,-0.9360778545236107,0.73399305,-0.0099116545
,,,,,-0.9073675,-0.9356625578118245,0.73399657,-0.009937888
,,,,,-0.9070264,-0.9352477232375052,0.7339997,-0.009964125
,,,,,-0.9066853,-0.9348334103136616,0.73396623,-0.009990551
,,,,,-0.90634423,-0.9344196432387966,0.73397243,-0.010016771
,,,,,-0.9060031,-0.9340062680771394,0.73397833,-0.010042995
,,,,,-0.905662,-0.9335933792137473,0.73398393,-0.010069219
,,,,,-0.90532094,-0.9331810003317368,0.7339892,-0.010095438
,,,,,-0.9049798,-0.9327690617514652,0.733994,-0.0101216715
,,,,,-0.9046387,-0.9323575850323952,0.73399836,-0.010147901
,,,,,-0.90429765,-0.931946646912769,0.733966,-0.010174317
,,,,,-0.90395653,-0.9315361459516992,0.7339732,-0.010200536
,,,,,-0.9036154,-0.9311260361139292,0.73398,-0.010226756
,,,,,-0.90327436,-0.930716432055882,0.73398644,-0.010252971
,,,,,-0.90293324,-0.9303072301867154,0.7339924,-0.010279195
,,,,,-0.9025922,-0.9298985146671438,0.73399776,-0.010305416
,,,,,-0.90225106,-0.9294901978228013,0.73400265,-0.010331644
,,,,,-0.90190995,-0.929082344605969,0.7339706,-0.0103580635
,,,,,-0.9015689,-0.9286749780279754,0.7339781,-0.010384275
,,,,,-0.9012278,-0.928267944863318,0.7339851,-0.010410493
,,,,,-0.90088665,-0.9278613417547235,0.7339916,-0.010436714
,,,,,-0.9005456,-0.9274551930046262,0.7339975,-0.010462934
,,,,,-0.9002045,-0.9270494279634832,0.7340029,-0.010489158
,,,,,-0.89986336,-0.9266440674840851,0.7340076,-0.010515386
,,,,,-0.8995223,-0.9262391943965533,0.73397535,-0.010541808
,,,,,-0.8991812,-0.9258347040870917,0.73398256,-0.010568023
,,,,,-0.89884007,-0.9254305494013229,0.7339893,-0.010594241
,,,,,-0.898499,-0.92502684979131,0.7339955,-0.010620462
,,,,,-0.8981579,-0.9246235007786217,0.7340011,-0.010646686
,,,,,-0.8978168,-0.924220539945985,0.73400605,-0.010672914
,,,,,-0.8974757,-0.9238180093664072,0.7340104,-0.01069914
,,,,,-0.8971346,-0.923415861797725,0.73397774,-0.010725563
,,,,,-0.8967935,-0.9230141032746544,0.7339846,-0.010751784
,,,,,-0.8964524,-0.9226127070223469,0.73399097,-0.010777999
,,,,,-0.8961113,-0.9222116620151456,0.7339968,-0.010804223
,,,,,-0.89577025,-0.921811020771515,0.734002,-0.010830447
,,,,,-0.89542913,-0.9214107131408337,0.73400664,-0.010856677
,,,,,-0.895088,-0.9210107638382403,0.7340107,-0.01088291
,,,,,-0.89474696,-0.920611253722476,0.73397774,-0.01090933
,,,,,-0.89440584,-0.920212079890131,0.73398435,-0.010935549
,,,,,-0.8940647,-0.9198131975631912,0.7339905,-0.010961769
,,,,,-0.89372367,-0.9194147250159087,0.7339961,-0.010987993
,,,,,-0.89338255,-0.9190165590067948,0.73400116,-0.0110142175
,,,,,-0.89304143,-0.9186187371708496,0.73400563,-0.011040451
,,,,,-0.8927004,-0.9182213037126707,0.73400956,-0.011066681
,,,,,-0.89235926,-0.9178242093006934,0.73397654,-0.011093106
,,,,,-0.89201814,-0.9174274608980233,0.73398304,-0.011119325
,,,,,-0.8916771,-0.9170310331992604,0.7339891,-0.011145545
,,,,,-0.89133596,-0.9166349165356679,0.7339947,-0.011171769
,,,,,-0.89099485,-0.9162391153767362,0.7339998,-0.011197997
,,,,,-0.8906538,-0.915843689367758,0.7340043,-0.011224223
,,,,,-0.8903127,-0.9154485519850748,0.73400825,-0.011250457
,,,,,-0.88997155,-0.915053765248649,0.7339753,-0.01127688
,,,,,-0.8896305,-0.9146593545438254,0.7339819,-0.011303095
,,,,,-0.8892894,-0.9142651680082075,0.73398805,-0.011329319
,,,,,-0.88894826,-0.9138713036652762,0.7339937,-0.011355545
,,,,,-0.8886072,-0.9134777863687885,0.7339989,-0.01138177
,,,,,-0.8882661,-0.9130845465969804,0.7340035,-0.011407997
,,,,,-0.88792497,-0.9126916070626332,0.73400754,-0.011434231
,,,,,-0.8875839,-0.9122990504066656,0.7339747,-0.011460651
,,,,,-0.8872428,-0.9119067739387672,0.7339814,-0.011486871
,,,,,-0.88690174,-0.9115147786294997,0.7339876,-0.011513086
,,,,,-0.8865606,-0.9111230552051626,0.7339934,-0.01153931
,,,,,-0.8862195,-0.9107316145465667,0.73399866,-0.01156554
,,,,,-0.88587844,-0.9103405135127886,0.73400337,-0.011591764
,,,,,-0.8855373,-0.9099496665983569,0.7340075,-0.011617998
,,,,,-0.8851962,-0.9095591371868699,0.7339747,-0.011644423
,,,,,-0.88485515,-0.9091689494962137,0.7339815,-0.011670632
,,,,,-0.88451403,-0.9087789519270103,0.7339878,-0.0116968565
,,,,,-0.8841729,-0.908389245135156,0.7339936,-0.011723081
,,,,,-0.88383186,-0.9079998517943454,0.7339989,-0.011749301
,,,,,-0.88349074,-0.9076107047278329,0.73400366,-0.011775531
,,,,,-0.8831496,-0.907221827161513,0.7340078,-0.011801764
,,,,,-0.88280857,-0.9068333003578278,0.73397505,-0.011828184
,,,,,-0.88246745,-0.9064450227002767,0.7339818,-0.011854403
,,,,,-0.88212633,-0.9060569498913899,0.73398817,-0.011880623
,,,,,-0.8817853,-0.9056692006699693,0.73399395,-0.011906844
,,,,,-0.88144416,-0.9052816737954222,0.73399925,-0.011933072
,,,,,-0.88110304,-0.9048944079529397,0.73400396,-0.011959301
,,,,,-0.880762,-0.9045074457278075,0.73400813,-0.011985529
,,,,,-0.88042086,-0.9041207417219967,0.73397535,-0.012011955
,,,,,-0.88007975,-0.903734302202904,0.73398215,-0.012038169
,,,,,-0.8797387,-0.9033481029186551,0.7339884,-0.01206439
,,,,,-0.8793976,-0.902962136434698,0.73399425,-0.012090614
,,,,,-0.8790565,-0.9025764512322463,0.7339995,-0.012116833
,,,,,-0.8787154,-0.9021909828139623,0.7340042,-0.012143068
,,,,,-0.8783743,-0.9018057565392861,0.7340083,-0.012169296
,,,,,-0.8780332,-0.9014208513012395,0.7339755,-0.012195716
,,,,,-0.8776921,-0.901036170862194,0.73398226,-0.012221936
,,,,,-0.877351,-0.9006516687597046,0.7339885,-0.01224816
,,,,,-0.8770099,-0.90026746406837,0.7339943,-0.012274381
,,,,,-0.8766688,-0.899883453971203,0.73399955,-0.012300605
,,,,,-0.8763277,-0.899499678628139,0.7340042,-0.012326833
