t,p_ref,,pulse,p_ref1
0,0.000107822,,0,0.000107822
0.001000024,0.000121721,,0,0.000121721
0.002000008,0.000136462,,0,0.000136462
0.003000032,0.000152046,,0,0.000152046
0.004000016,0.000168472,,0,0.000168472
0.005,0.00018574,,0,0.00018574
0.006000024,0.000203851,,0,0.000203851
0.007000008,0.000222804,,0,0.000222804
0.008000032,0.0002426,,0,0.0002426
0.009000016,0.000263238,,0,0.000263237
0.01,0.000284718,,0,0.000284718
0.011000024,0.00030704,,0,0.00030704
0.012000008,0.000330205,,0,0.000330205
0.013000032,0.000354212,,0,0.000354212
0.014000016,0.000379062,,0,0.000379062
0.015,0.000404754,,0,0.000404754
0.016000024,0.000431288,,0,0.000431288
0.017000008,0.000458665,,0,0.000458665
0.018000032,0.000486884,,0,0.000486884
0.019000016,0.000515946,,0,0.000515945
0.02,0.000545849,,0,0.000545849
0.021000024,0.000576595,,0,0.000576595
0.022000008,0.000608184,,0,0.000608184
0.023000032,0.000640615,,0,0.000640615
0.024000016,0.000673888,,0,0.000673888
0.025,0.000708004,,0,0.000708004
0.026000024,0.000742962,,0,0.000742962
0.027000008,0.000778762,,0,0.000778762
0.028000032,0.000815404,,0,0.000815404
0.029000016,0.00085289,,0,0.000852889
0.03,0.000891217,,0,0.000891217
0.031000024,0.000930387,,0,0.000930387
0.032000008,0.000970399,,0,0.000970399
0.033000032,0.001011253,,0,0.001011253
0.034000016,0.00105295,,0,0.00105295
0.035,0.001095068,,0,0.001095068
0.036000024,0.001137186,,0,0.001137186
0.037000008,0.001179304,,0,0.001179304
0.038000032,0.001221422,,0,0.001221422
0.039000016,0.00126354,,0,0.00126354
0.04,0.001305658,,0,0.001305658
0.041000024,0.001347776,,0,0.001347776
0.042000008,0.001389894,,0,0.001389894
0.043000032,0.001432012,,0,0.001432012
0.044000016,0.00147413,,0,0.00147413
0.045,0.001516248,,0,0.001516248
0.046000024,0.001558366,,0,0.001558366
0.047000008,0.001600484,,0,0.001600484
0.048000032,0.001642602,,0,0.001642602
0.049000016,0.00168472,,0,0.00168472
0.05,0.001726838,,0,0.001726838
0.051000024,0.001768956,,0,0.001768956
0.052000008,0.001811074,,0,0.001811074
0.053000032,0.001853192,,0,0.001853192
0.054000016,0.00189531,,0,0.00189531
0.055,0.001937428,,0,0.001937428
0.056000024,0.001979546,,0,0.001979546
0.057000008,0.002021664,,0,0.002021664
0.057999992,0.002063782,,0,0.002063782
0.059000016,0.0021059,,0,0.0021059
0.06,0.002148018,,0,0.002148018
0.061000024,0.002190136,,0,0.002190136
0.062000008,0.002232254,,0,0.002232254
0.063000032,0.002274372,,0,0.002274372
0.064000016,0.00231649,,0,0.00231649
0.065,0.002358608,,0,0.002358608
0.066000024,0.002400726,,0,0.002400726
0.067000008,0.002442844,,0,0.002442844
0.068000032,0.002484962,,0,0.002484962
0.069000016,0.00252708,,0,0.00252708
0.07,0.002569198,,0,0.002569198
0.071000024,0.002611316,,0,0.002611316
0.072000008,0.002653434,,0,0.002653434
0.073000032,0.002695552,,0,0.002695552
0.074000016,0.00273767,,0,0.00273767
0.075,0.002779788,,0,0.002779788
0.076000024,0.002821906,,0,0.002821906
0.077000008,0.002864024,,0,0.002864024
0.078000032,0.002906142,,0,0.002906142
0.079000016,0.00294826,,0,0.00294826
0.08,0.002990378,,0,0.002990378
0.081000024,0.003032496,,0,0.003032496
0.082000008,0.003074614,,0,0.003074614
0.083000032,0.003116732,,0,0.003116732
0.084000016,0.00315885,,0,0.00315885
0.085,0.003200968,,0,0.003200968
0.086000024,0.003243086,,0,0.003243086
0.087000008,0.003285204,,0,0.003285204
0.087999992,0.003327322,,0,0.003327322
0.089000016,0.00336944,,0,0.00336944
0.09,0.003411558,,0,0.003411558
0.091000024,0.003453676,,0,0.003453676
0.092000008,0.003495794,,0,0.003495794
0.093000032,0.003537912,,0,0.003537912
0.094000016,0.00358003,,0,0.00358003
0.095,0.003622148,,0,0.003622148
0.096000024,0.003664266,,0,0.003664266
0.097000008,0.003706384,,0,0.003706384
0.098000032,0.003748502,,0,0.003748502
0.099000016,0.00379062,,0,0.00379062
0.1,0.003832738,,0,0.003832738
0.101000024,0.003874856,,0,0.003874856
0.102000008,0.003916974,,0,0.003916974
0.103000032,0.003959092,,0,0.003959092
0.104000016,0.00400121,,0,0.00400121
0.105,0.004043328,,0,0.004043328
0.106000024,0.004085446,,0,0.004085446
0.107000008,0.004127564,,0,0.004127564
0.108000032,0.004169682,,0,0.004169682
0.109000016,0.0042118,,0,0.0042118
0.11,0.004253918,,0,0.004253918
0.111000024,0.004296036,,0,0.004296036
0.112000008,0.004338154,,0,0.004338154
0.113000032,0.004380272,,0,0.004380272
0.114000016,0.00442239,,0,0.00442239
0.115,0.004464508,,0,0.004464508
0.116000024,0.004506626,,0,0.004506626
0.117000008,0.004548744,,0,0.004548744
