time,V_C,I_L,V_IN
0,0,0,-2.132698392
5.00E-07,-0.01975647,-0.021549618,-10.60696679
1.00E-06,-0.156453999,-0.133756465,-20.21491834
1.50E-06,-0.599356633,-0.36477313,-29.92346562
2.00E-06,-1.54230515,-0.66249652,-37.30265198
2.50E-06,-3.092780393,-1.016005896,-41.19511482
3.00E-06,-5.299647244,-1.368533449,-45.9499823
3.50E-06,-8.169717479,-1.729960223,-48.11479299
4.00E-06,-11.68669926,-2.061180455,-49.6536624
4.50E-06,-15.77767154,-2.351241447,-52.48705263
5.00E-06,-20.3840645,-2.616931968,-54.08073293
5.50E-06,-25.45291227,-2.854576602,-54.85199533
6.00E-06,-30.91889278,-3.041491838,-56.32880461
6.50E-06,-36.68334634,-3.177316906,-57.66536328
7.00E-06,-42.65348522,-3.261423358,-59.21245691
7.50E-06,-48.73304894,-3.293228,-59.83856239
8.00E-06,-54.82070306,-3.269114948,-57.79900392
8.50E-06,-60.77847363,-3.148549122,-52.81069371
9.00E-06,-66.42696377,-2.933482571,-48.86384735
9.50E-06,-71.59974441,-2.636524697,-42.47770819
1.00E-05,-76.14785912,-2.265280367,-39.80096313
1.05E-05,-79.93982413,-1.82234991,-38.25469973
1.10E-05,-82.84787417,-1.315866903,-35.43843742
1.15E-05,-84.78440602,-0.77357504,-32.2922063
1.20E-05,-85.71381478,-0.219781886,-30.66909376
1.25E-05,-85.62774174,0.325784486,-30.11213256
1.30E-05,-84.54506793,0.847973862,-30.90806107
1.35E-05,-82.51191408,1.336213888,-32.43520837
1.40E-05,-79.60164063,1.784510069,-31.93312058
1.45E-05,-75.90921858,2.189271105,-30.54858963
1.50E-05,-71.50845044,2.546190952,-29.96608345
1.55E-05,-66.47992889,2.872000369,-27.63605374
1.60E-05,-60.88474188,3.175706928,-23.9739477
1.65E-05,-54.75772694,3.454294822,-18.53531246
1.70E-05,-48.12587814,3.701925496,-12.50164159
1.75E-05,-41.060862,3.919050814,-8.936461921
1.80E-05,-33.63771189,4.093067949,-6.985750685
1.85E-05,-25.94091334,4.214921423,-3.683893067
1.90E-05,-18.07111436,4.273017409,0.792573312
1.95E-05,-10.14026763,4.275218484,4.963455481
2.00E-05,-2.214691359,4.265660488,9.44095985
2.05E-05,5.669131881,4.256462622,15.61717012
2.10E-05,13.50275968,4.224261695,20.55935679
2.15E-05,21.23622649,4.116204229,25.43063186
2.20E-05,28.74170545,3.985059902,29.22930801
2.25E-05,35.98410064,3.831335853,32.38492055
2.30E-05,42.8909208,3.626518579,37.52622847
2.35E-05,49.44126854,3.445274674,44.43316123
2.40E-05,55.65149278,3.262642735,52.92652363
2.45E-05,61.53210032,3.102916885,63.06155671
2.50E-05,67.17688335,2.991729726,72.50994507
2.55E-05,72.61244336,2.890236313,81.51186174
2.60E-05,77.93761885,2.864475747,88.70681325
2.65E-05,83.24062749,2.864395164,94.88032927
2.70E-05,88.5362259,2.853959436,99.64314396
2.75E-05,93.83322001,2.864536009,103.6753074
2.80E-05,99.14037149,2.871011437,107.4404486
2.85E-05,104.4385417,2.853250907,109.848693
2.90E-05,109.6833616,2.809752861,114.7114608
2.95E-05,114.8301763,2.748293947,116.6158352
3.00E-05,119.8253648,2.643458444,115.2672897
3.05E-05,124.5920163,2.489566189,115.709413
3.10E-05,129.0320066,2.298680821,118.0223063
3.15E-05,133.0874515,2.082686839,121.4091786
3.20E-05,136.7621731,1.876206844,125.2862896
3.25E-05,140.0673028,1.690481597,127.7761525
3.30E-05,143.0181991,1.506303442,127.4399017
3.35E-05,145.6125846,1.290728531,125.8348677
3.40E-05,147.7722357,1.038053687,122.9611562
3.45E-05,149.4281784,0.745710809,121.4385138
3.50E-05,150.5258329,0.43547135,119.2335621
3.55E-05,151.0287389,0.098861824,114.7697897
3.60E-05,150.8701829,-0.275176015,109.4786506
3.65E-05,149.9760261,-0.696485192,104.7424374
3.70E-05,148.2885487,-1.126697862,98.72437064
3.75E-05,145.7770697,-1.59175584,91.18778535
3.80E-05,142.380987,-2.073174765,84.44983609
3.85E-05,138.1139558,-2.541732276,78.56366114
3.90E-05,132.9321155,-3.056079795,71.9136895
3.95E-05,126.8002864,-3.561952305,64.71786779
4.00E-05,119.7328788,-4.075071072,57.65722363
4.05E-05,111.721528,-4.566253615,47.66207056
4.10E-05,102.7380089,-5.28053046,34.81243361
4.15E-05,90.32615622,-8.347479167,21.28089012
4.20E-05,71.94249716,-11.18900657,8.893851876
4.25E-05,49.50405191,-12.66038432,-0.492121736
4.30E-05,25.94860898,-12.61683409,-4.919646718
4.35E-05,3.727371023,-11.13574751,-6.29403581
4.40E-05,-14.6119311,-8.548347357,-7.358464892
4.45E-05,-27.80397199,-5.806455017,-8.890044642
4.50E-05,-37.42165093,-4.805737492,-12.24443884
4.55E-05,-45.86677086,-4.319172606,-15.75669663
4.60E-05,-53.41426591,-3.823648797,-19.12834316
4.65E-05,-60.02316068,-3.317416469,-21.85116052
4.70E-05,-65.68773612,-2.794888263,-25.34581808
4.75E-05,-70.37535818,-2.267412802,-26.74379097
4.80E-05,-74.08993482,-1.743465409,-24.4537036
4.85E-05,-76.80814887,-1.184438284,-21.60473345
4.90E-05,-78.43881361,-0.571521752,-17.89834761
4.95E-05,-78.91595876,0.05702285,-13.20967393
5.00E-05,-78.21917241,0.695292226,-9.469201424
5.05E-05,-76.32170998,1.355713545,-5.931196137
5.10E-05,-73.20077466,2.020211633,-2.665916414
5.15E-05,-68.8575436,2.662259916,-0.047146399
5.20E-05,-63.37358777,3.251597322,0.677692963
5.25E-05,-56.86922856,3.762738048,1.231421868
5.30E-05,-49.47362612,4.215345635,3.513694809
5.35E-05,-41.30506882,4.596869637,9.205352461
5.40E-05,-32.41598142,5.049689916,17.89943464
5.45E-05,-21.97899606,6.386111867,29.78589072
5.50E-05,-8.325276601,8.337248869,39.8147256
5.55E-05,8.48097206,9.532658684,49.75172794
5.60E-05,26.61118367,9.829696427,60.02396761
5.65E-05,44.6069864,9.486651534,72.71784182
5.70E-05,61.70248719,8.767190154,82.23694862
5.75E-05,77.0514324,7.82454981,87.55191963
5.80E-05,90.33546384,6.445253814,88.88541291
5.85E-05,100.9571587,5.151357521,84.62019878
5.90E-05,109.9268925,4.587524239,77.96740818
5.95E-05,117.9268963,4.026372632,70.09170727
6.00E-05,124.757906,3.334361348,63.06297401
6.05E-05,130.2361291,2.573414049,58.46396625
6.10E-05,134.2519275,1.756431321,58.73853838
6.15E-05,136.7522122,0.943900519,61.24574135
6.20E-05,137.7636786,0.158670152,61.88774919
6.25E-05,137.3465831,-0.607579653,60.24510563
6.30E-05,135.5170524,-1.360741313,58.37881995
6.35E-05,132.308094,-2.098691203,54.97251802
6.40E-05,127.7748649,-2.793312244,55.49866237
6.45E-05,122.0313296,-3.39993658,58.74602019
6.50E-05,115.2542095,-3.910139388,59.93818459
6.55E-05,107.6002562,-4.335455603,57.61625683
6.60E-05,99.22283887,-4.692803681,57.19323389
6.65E-05,90.24092582,-5.014525472,57.62676683
6.70E-05,80.6579745,-5.305674095,59.33819486
6.75E-05,70.75775759,-5.325537407,57.51323783
6.80E-05,61.09118166,-5.095180621,53.62141432
6.85E-05,51.83533106,-4.901813451,49.73062333
6.90E-05,42.94567333,-4.701792421,45.98105236
6.95E-05,34.47090162,-4.457892307,41.94338419
7.00E-05,26.4935709,-4.160113844,38.73777682
7.05E-05,19.08013654,-3.821365866,33.8117997
7.10E-05,12.29463073,-3.501100365,28.63765363
7.15E-05,6.105248323,-3.185049665,24.48649286
7.20E-05,0.507191951,-2.858271013,22.28413184
7.25E-05,-4.476212833,-2.517170201,21.39097416
7.30E-05,-8.806758279,-2.156202528,17.72921606
7.35E-05,-12.45738464,-1.785673485,11.45280116
7.40E-05,-15.45697931,-1.446611198,8.037694301
7.45E-05,-17.85795684,-1.153902384,5.973569967
7.50E-05,-19.73231394,-0.890840732,3.618481501
7.55E-05,-21.13437504,-0.621666298,4.455796691
7.60E-05,-22.02041171,-0.333291249,6.789746294
7.65E-05,-22.36113943,-0.033448003,11.28357782
7.70E-05,-22.11884916,0.309569215,16.91648936
7.75E-05,-21.19547746,0.686204199,26.88856273
7.80E-05,-19.51830118,1.125623743,39.8319417
7.85E-05,-16.97261955,1.643649367,51.64076368
7.90E-05,-13.34370435,2.301201264,63.75596692
7.95E-05,-8.431925891,3.01246911,76.39136749
8.00E-05,-2.147958831,3.781387649,89.48905433
8.05E-05,5.618210854,4.610849275,99.353838
8.10E-05,15.84585883,7.376741297,108.8249147
8.15E-05,34.32327303,12.17804332,117.9874647
8.20E-05,59.73188149,14.88724611,121.5306371
8.25E-05,87.94703203,15.1672283,119.5499407
8.30E-05,114.2472882,12.89005078,112.2939255
8.35E-05,134.4786081,8.783245142,104.2806617
8.40E-05,146.5717183,5.020142581,98.98478305
8.45E-05,155.0867712,4.215984443,97.39682473
8.50E-05,162.1870748,3.448504986,97.28830506
8.55E-05,167.8452552,2.668474737,99.33833626
8.60E-05,172.0561229,1.874268103,97.64106607
8.65E-05,174.7636848,1.03099881,91.45126473
8.70E-05,175.8780937,0.17237243,84.89295848
8.75E-05,175.3624612,-0.731621466,79.55038508
8.80E-05,173.1473427,-1.663312146,73.55545929
8.85E-05,169.2302434,-2.56944299,63.69284657
8.90E-05,163.6069177,-3.518757214,52.96691867
8.95E-05,156.1226617,-4.590577075,41.08733401
9.00E-05,144.877766,-8.867521617,31.57561035
9.05E-05,122.4030431,-14.92726881,23.80825396
9.10E-05,91.32826169,-18.21821779,14.97140189
9.15E-05,56.79442438,-18.50384771,5.198283348
9.20E-05,24.01354869,-16.65297201,-5.708673498
9.25E-05,-4.342816896,-13.7754634,-15.21027697
9.30E-05,-26.77153997,-10.38485539,-21.90077126
9.35E-05,-42.83628138,-6.980519768,-28.83117383
9.40E-05,-53.61935853,-5.068317519,-34.37998853
9.45E-05,-62.47694191,-4.555019427,-40.24141011
9.50E-05,-70.53482073,-4.138481025,-47.02796446
9.55E-05,-77.82288576,-3.732164589,-53.78974064
9.60E-05,-84.36835446,-3.352858458,-61.80813673
9.65E-05,-90.2310732,-2.973419074,-70.67912465
9.70E-05,-95.42708531,-2.64566016,-79.63571236
9.75E-05,-100.0815862,-2.389273924,-83.46015892
9.80E-05,-104.252246,-2.116880043,-85.64375964
9.85E-05,-107.9307864,-1.855484584,-88.3843665
9.90E-05,-111.121777,-1.588884006,-90.24810449
9.95E-05,-113.8126606,-1.315951113,-91.62422083
1.00E-04,-116.0072983,-1.051991832,-92.51268528
0.0001005,-117.7071649,-0.786899754,-91.23530714
0.000101,-118.8990032,-0.497510395,-88.07954515
0.0001015,-119.5266764,-0.175709881,-85.92748379
0.000102,-119.5389741,0.163061078,-85.22139358
0.0001025,-118.9239553,0.498614952,-86.24955792
0.000103,-117.6942616,0.819196999,-92.36721749
0.0001035,-115.9741453,1.025293311,-100.6793964
0.000104,-113.9627075,1.130558022,-104.3672239
0.0001045,-111.8089151,1.187359361,-103.0667539
0.000105,-109.5661361,1.232093431,-100.7988166
0.0001055,-107.2467215,1.274644801,-97.09109152
0.000106,-104.8322695,1.342781375,-90.82223007
0.0001065,-102.2529316,1.454319231,-77.8637075
